old	new
BMK5022_InSedAlveolata_Alveolata	BMK5022_Perkinsidae_Alveolata
BMK5100_InSedEukaryota_OtherEukaryota	BMK5100_InSedAmoebozoa_Amoebozoa
BMK5139_InSedOpisthokonta_Opisthokonta	BMK5139_InSedEukaryota_OtherEukaryota
BMK5164_BasalFungi_Opisthokonta	BMK5164_Rotosphaerida_Opisthokonta
BMK5308_BasalFungi_Opisthokonta	BMK5308_Rozellomycota_Opisthokonta
BMK5327_InSedAlveolata_Alveolata	BMK5327_Apicomplexa_Alveolata
BMK5354_BasalFungi_Opisthokonta	BMK5354_Rozellomycota_Opisthokonta
BMK5381_Apicomplexa_Alveolata	BMK5381_Colpodellida_Alveolata
BMK5411_InSedOpisthokonta_Opisthokonta	BMK5411_InSedEukaryota_OtherEukaryota
BMK5424_InSedAlveolata_Alveolata	BMK5424_Colpodellida_Alveolata
BMK5443_BasalFungi_Opisthokonta	BMK5443_InSedEukaryota_OtherEukaryota
BMK5468_InSedEukaryota_OtherEukaryota	BMK5468_InSedAmoebozoa_Amoebozoa
BMK5516_BasalFungi_Opisthokonta	BMK5516_Chytridiomycota_Opisthokonta
BMK5560_InSedOpisthokonta_Opisthokonta	BMK5560_InSedEukaryota_OtherEukaryota
BMK5561_InSedAlveolata_Alveolata	BMK5561_Colpodellida_Alveolata
BMK5617_BasalFungi_Opisthokonta	BMK5617_Rotosphaerida_Opisthokonta
BMK5630_BasalFungi_Opisthokonta	BMK5630_Rozellomycota_Opisthokonta
BMK5635_BasalFungi_Opisthokonta	BMK5635_InSedEukaryota_OtherEukaryota
BMK564_BasalFungi_Opisthokonta	BMK564_NCLC1_Opisthokonta
BMK5688_BasalFungi_Opisthokonta	BMK5688_Rotosphaerida_Opisthokonta
BMK5691_InSedAlveolata_Alveolata	BMK5691_Perkinsidae_Alveolata
BMK5694_InSedAlveolata_Alveolata	BMK5694_Perkinsidae_Alveolata
BMK5860_BasalFungi_Opisthokonta	BMK5860_Rotosphaerida_Opisthokonta
BMK5863_BasalFungi_Opisthokonta	BMK5863_Chytridiomycota_Opisthokonta
BMK5880_BasalFungi_Opisthokonta	BMK5880_Rozellomycota_Opisthokonta
BMK5889_BasalFungi_Opisthokonta	BMK5889_Rotosphaerida_Opisthokonta
BMK5932_BasalFungi_Opisthokonta	BMK5932_Rotosphaerida_Opisthokonta
BMK5964_Apicomplexa_Alveolata	BMK5964_Colpodellida_Alveolata
BMK5976_BasalFungi_Opisthokonta	BMK5976_Rotosphaerida_Opisthokonta
BMK599_BasalFungi_Opisthokonta	BMK599_NCLC1_Opisthokonta
BMK5996_BasalFungi_Opisthokonta	BMK5996_InSedEukaryota_OtherEukaryota
